,Unnamed: 0,station,Cluster,lon_x,lat_x,color,site_x,11,21_x,22_x,23_x,24_x,41,42,43,52,71,81,82,90,95,31,Unnamed: 0_x,elev,std,variance,skew,med_dist,lon_y,lat_y,site_y,19,25,21_y,23_y,24_y,27,28,22_y,26,Unnamed: 0_y,firstmode_count,firstmode_class,firstmode_val,secondmode_count,secondmode_class,secondmode_val,thirdmode_count,thirdmode_class,thirdmode_val,sum_total
0,0,APAC,0,-98.29216,34.91418,black,8,1.4571980310922394,3.218671388377943,1.4443050087959062,0.8314566823102004,0.1744855684103763,5.57236423647522,0.6294659996676466,0.0833748775162881,0.4910808936870033,53.71347693295056,0.3587125314446488,31.41828975491797,0.0828018543031178,0.2111590540532797,0.3131571859976047,7,440,39.12649492254499,1530.3401234905857,1.5358136288582882,483.0,-98.29216,34.91418,7,99.68107725017715,0.0354358610914245,0.141743444365698,0.0354358610914245,0.0354358610914245,0.0,0.0,0.070871722182849,0.0,7,187474.0,Grassland/Herbaceous,71,109658.0,Cultivated Crops,82,19449.0,Deciduous Forest,41,349026.0
1,1,ARNE,0,-99.90308,36.07204,black,11,0.276786865517686,1.749545135456512,0.7891004426870676,0.6071546252919012,0.0320912307846592,0.1022907981261013,0.0194839615478288,0.9280669331384936,23.230326213091505,63.0257446168393,0.011461153851664,7.976676551911864,0.7699030099855303,0.3481325482442945,0.1332359135255942,10,719,40.80267401826522,1664.2690852407304,0.0973080841701839,709.0,-99.90308,36.07204,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,219963.0,Grassland/Herbaceous,71,81075.0,Shrub/Scrub,52,27839.0,Cultivated Crops,82,349005.0
2,2,BEAV,0,-100.53012,36.80253,black,13,0.035242947112657,3.543492088961221,0.4498489997306636,0.1813722400187962,0.0464175400995971,0.1676188948041007,0.0,0.0,35.84150415752165,53.42773476673754,0.0630361655673541,4.488748044446227,0.6888133728359971,0.9822180707495,0.0839527114147034,12,758,43.06175709379758,1853.6589937172864,-0.0608008579362076,728.0,-100.53012,36.80253,12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,186466.0,Grassland/Herbaceous,71,125089.0,Shrub/Scrub,52,15666.0,Cultivated Crops,82,349006.0
3,3,BESS,0,-99.05847,35.40185,black,15,0.7529525021058603,2.7843197927948062,0.8156985439480154,0.630325534487402,0.1996985897898723,0.2180353326113241,0.0515720891853328,1.268100370746019,9.694406720416245,46.253860743898734,0.4260427589921667,36.86143725682328,0.018909766034622,0.018909766034622,0.0057302321317036,14,511,40.60866566027096,1648.4797806288068,0.2958110983292334,512.0,-99.05847,35.40185,14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,161438.0,Grassland/Herbaceous,71,128656.0,Cultivated Crops,82,33836.0,Shrub/Scrub,52,349026.0
4,4,BOIS,0,-102.49713,36.69256,black,18,0.0260722573990774,2.922957911927341,1.2463112053405152,0.3266194882961349,0.0802223304586998,0.0,0.0,0.0,5.639916339569664,47.45637910781308,0.0020055582614674,42.21814743718305,0.0005730166461335,0.0770707389049651,0.0037246081998682,17,1267,55.10699706910654,3035.705778550305,0.4410158319127076,1288.0,-102.49713,36.69256,17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,165637.0,Grassland/Herbaceous,71,147354.0,Cultivated Crops,82,19685.0,Shrub/Scrub,52,349030.0
5,5,BUFF,0,-99.64101,36.83129,black,23,0.0919694352045245,2.1863512774010183,0.6724369608256047,0.3721753779771881,0.0684756854014995,0.0008595274318179,0.0028650914393932,0.0,0.0065897103106045,73.46925327121815,0.1959722544545009,22.84280102799481,0.0214881857954496,0.0687621945454389,0.0,22,559,47.7593322923711,2280.1452588645875,0.0384567884973153,528.0,-99.64101,36.83129,22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,256429.0,Grassland/Herbaceous,71,79728.0,Cultivated Crops,82,7631.0,Developed Open Space,21,349029.0
6,6,BUTL,0,-99.27059,35.5915,black,26,8.259262443049945,2.837330582538182,0.5037393621593742,0.2679159861314077,0.0833834780366199,0.2449926932003782,0.3467148055818218,2.346485572652512,16.427977879022322,50.53497234877791,0.5200722083727327,17.350067337172984,0.1833863434482363,0.0876815954611879,0.0060173643943952,25,520,40.66986298023479,1653.4516323098708,0.1115123159920501,487.0,-99.27059,35.5915,25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,176362.0,Grassland/Herbaceous,71,60550.0,Cultivated Crops,82,57332.0,Shrub/Scrub,52,348990.0
7,7,CAMA,0,-99.34652,36.02866,black,29,0.4561408535449766,1.968396773777632,0.2134578743033967,0.0802257782616793,0.0083090984628167,0.0028652063664885,6.080254430325344,1.1890606420927468,9.024540492528974,69.62852599458475,0.0166181969256335,10.976605590017622,0.0730627623454579,0.1335186166783662,0.1484176897841067,28,589,54.01957102534452,2917.082188821024,0.3419028337042785,555.0,-99.34652,36.02866,28,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,243014.0,Grassland/Herbaceous,71,38310.0,Cultivated Crops,82,31497.0,Shrub/Scrub,52,349015.0
8,8,CHEY,0,-99.7279,35.54615,black,35,0.355557847628707,2.639035724825158,0.6644147047953035,0.3796246157196107,0.0719137951287715,0.0965535815075538,0.0260723320984789,3.0805463156356634,24.24984743388085,60.21562678172874,0.0856662340378593,7.842614797051247,0.1140306392878528,0.0286509143939328,0.1498442822802689,34,694,58.83642435996483,3460.502039225854,0.3166418463458197,744.0,-99.7279,35.54615,34,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,210170.0,Grassland/Herbaceous,71,84639.0,Shrub/Scrub,52,27373.0,Cultivated Crops,82,349029.0
9,9,ELKC,0,-99.39398,35.33353,black,44,0.7925456014578712,4.392238439894327,2.365889020693291,1.8254909713984449,1.018332273167489,0.0017191878556569,0.0275070056905118,1.9782121592426405,19.056051254720604,41.2413109380462,3.3062847777376634,23.884963409951805,0.0363894762780729,0.0561601366181282,0.0169053472472937,43,584,41.38842182254119,1712.3948740410003,0.4145815337888421,608.0,-99.39398,35.33353,43,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,143933.0,Grassland/Herbaceous,71,83359.0,Cultivated Crops,82,66506.0,Shrub/Scrub,52,349002.0
