,Unnamed: 0,station,Cluster,lon_x,lat_x,color,site_x,11,21_x,22_x,23_x,24_x,31_x,41,42,43,52,71,81,82,90,95,Unnamed: 0_x,elev,std,variance,skew,med_dist,lon_y,lat_y,site_y,19,21_y,22_y,23_y,24_y,25,26,27,28,33,37,32,34,38,31_y,35,36,Unnamed: 0_y,firstmode_count,firstmode_class,firstmode_val,secondmode_count,secondmode_class,secondmode_val,thirdmode_count,thirdmode_class,thirdmode_val,sum_total
4,4,BING,0,-75.95104217529297,42.05842971801758,black,9,1.6458028302995051,8.893753456214597,7.638198441873992,7.392932560478382,3.168972719901206,0.3515668650378644,32.4788185978012,2.580449214776696,19.849344859301624,0.6157434335504243,0.482222521482254,13.462117022770189,0.0292256073625608,0.9194605296711544,0.4913913394783515,8,534.436,67.77529168481301,4591.859531025751,-0.2462254630121042,658.8719482421875,-75.95104217529297,42.05842971801758,8,86.71506352087114,1.4882032667876588,2.540834845735027,1.306715063520871,0.4355716878402904,0.7259528130671506,1.7059891107078042,3.3393829401088926,1.7422867513611615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,113354.0,Deciduous Forest,41,69276.0,Mixed Forest,43,46984.0,Pasture/Hay,81,349009.0
5,5,BROO,0,-75.2992935180664,42.7959098815918,black,15,0.4523797927475984,4.747266096154342,0.5222852198726232,0.1549952298140916,0.0157573708683457,0.0,41.44618284853156,6.698028609655545,10.60642958030959,0.7383044495950355,0.5145497832645262,22.40268391000536,3.969711468214518,7.087665416581911,0.6437602243849612,14,505.176,69.9435476262713,4890.362603179679,-0.649094152842528,568.3519897460938,-75.2992935180664,42.7959098815918,14,88.84930530815818,0.5343783398646241,2.173138582116138,2.0662629141432136,0.0712504453152832,0.0,0.3206270039187744,4.381902386889918,1.6031350195938725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,144665.0,Deciduous Forest,41,78195.0,Pasture/Hay,81,37021.0,Mixed Forest,43,349043.0
6,6,BURD,0,-76.77175903320312,42.41041946411133,black,18,4.641581117360373,4.280855770029712,2.328813044562044,0.7326248714253379,0.2415341285144934,0.1438317111675868,31.97075230861357,1.8188121563582496,15.34672897464035,1.0985075311086216,0.3054274982164295,23.77836163647252,8.411576447127521,3.4241688847885072,1.4764239196146915,17,567.751,111.2219961980916,12365.958204752837,-0.4645534151064989,757.501953125,-76.77175903320312,42.41041946411133,17,78.55862316242381,1.4342058085335243,4.732879168160631,4.087486554320545,0.5736823234134099,0.5019720329867335,3.657224811760488,4.517748296880603,1.936177841520258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,111584.0,Deciduous Forest,41,82991.0,Pasture/Hay,81,53563.0,Mixed Forest,43,349019.0
7,7,CINC,0,-75.97562408447266,42.522422790527344,black,24,0.5079836230434895,4.030347222421188,1.3683755124961678,0.3059935191260275,0.031516186426838,0.0956946024233082,39.17290066384549,3.088299759044429,12.106799760476983,0.3483971154094096,0.4366424374045561,31.037140393150096,3.490560902165162,3.238431410750458,0.7409168918163924,23,423.916,63.21445893833232,3994.651275860479,0.0416574178985549,408.83197021484375,-75.97562408447266,42.522422790527344,23,88.58560794044665,1.1697979439914925,2.3750443105281813,1.63062743707905,0.4253810705423608,0.4962779156327543,0.9216589861751152,2.9422190712513294,1.4533853243530663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,136724.0,Deciduous Forest,41,108328.0,Pasture/Hay,81,42256.0,Mixed Forest,43,349027.0
8,8,CLYM,0,-79.62407684326172,42.02447128295898,black,27,0.1128920419706251,4.312246780857636,0.906288144043369,0.5309364308923056,0.1140381540718497,0.0286528025306155,42.86344647369959,2.998229256803608,6.419087350933794,0.3048658189257491,0.2083058743975748,25.86030039598173,6.160925600132949,7.968057855738869,1.2117270190197305,26,450.068,62.81689120812509,3944.5650204088015,-1.648855144838454,440.135986328125,-79.62407684326172,42.02447128295898,26,98.20884146341464,0.1524390243902439,0.0762195121951219,0.0762195121951219,0.0381097560975609,0.0,0.1143292682926829,0.1524390243902439,1.1814024390243902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,149596.0,Deciduous Forest,41,90254.0,Pasture/Hay,81,27809.0,Woody Wetlands,90,349006.0
9,9,COBL,0,-74.50796508789062,42.676265716552734,black,28,0.3859432975660071,4.811254530607567,2.405340744667135,1.29077546810309,0.3297852527828316,0.2850880334656103,21.05353638095784,6.310043980917726,23.218199790839936,1.0478059682248613,1.4391931578871968,31.59692276836239,2.7626319785682565,2.469807887913127,0.5936707591364268,27,327.96,143.28096385761265,20522.154662617573,-0.1631371596942642,232.41998291015625,-74.50796508789062,42.676265716552734,27,70.7124955245256,5.119942713927676,4.511278195488721,4.260651629072681,2.363050483351236,1.5037593984962403,2.076620121732904,4.511278195488721,4.9409237379162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,110278.0,Pasture/Hay,81,81035.0,Mixed Forest,43,73480.0,Deciduous Forest,41,349015.0
10,10,DELE,0,-78.42320251464844,42.41846466064453,black,35,0.712273976213602,4.688516229589454,1.163247121249889,0.4134398019614753,0.0739206298725299,0.5836291591098581,42.521839534930365,4.84122822851216,10.729378866149222,0.4071364924374611,0.4426642370273592,23.04977035897348,7.939304859565128,2.007604083398516,0.4260464210095037,34,622.31,70.48176541140154,4965.91766711936,-0.3557441592479664,716.6199951171875,-78.42320251464844,42.41846466064453,34,92.5177304964539,0.6737588652482269,1.2411347517730498,1.0638297872340423,0.3900709219858156,0.3900709219858156,0.7801418439716312,1.1347517730496457,1.808510638297872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,148411.0,Deciduous Forest,41,80449.0,Pasture/Hay,81,37448.0,Mixed Forest,43,349023.0
11,11,DUAN,0,-74.1736068725586,42.80318832397461,black,38,0.7592883891911716,4.333960820719118,2.056668700986502,0.8165931732810714,0.1286492402818249,0.1595938236903707,19.11916816375416,8.885106773138956,27.555291953548743,0.9337814567449164,1.9188506952502928,25.73815725005802,2.114260008996851,4.523066608215787,0.9575629421422248,37,417.149,123.71395101235566,15299.708539952611,0.4694409517153872,588.2979736328125,-74.1736068725586,42.80318832397461,37,84.88245931283906,3.146473779385172,3.218806509945751,1.8806509945750447,1.5189873417721518,1.0126582278481011,1.3381555153707052,1.2296564195298372,1.7721518987341771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,96171.0,Mixed Forest,43,89829.0,Pasture/Hay,81,66728.0,Deciduous Forest,41,349011.0
12,12,EAUR,0,-78.63172912597656,42.7134895324707,black,39,0.3658879013449317,8.805663956173678,2.9726601225165754,0.7675909848888584,0.2581558332903551,0.0120339012188622,41.84875105296636,2.545170107789372,16.162102379847227,0.552699891694889,0.3552866074140292,17.939108459832557,2.975238815634903,4.237079314869891,0.202570670517515,38,377.038,114.14716769400316,13024.9554755797,0.1260311946593424,407.0759887695313,-78.63172912597656,42.7134895324707,38,95.45454545454544,0.2886002886002886,1.6955266955266957,0.3246753246753247,0.036075036075036,0.0,1.2987012987012987,0.468975468975469,0.4329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,146058.0,Deciduous Forest,41,62610.0,Pasture/Hay,81,56408.0,Mixed Forest,43,349014.0
13,13,ELDR,0,-74.87992095947266,41.53961181640625,black,42,3.9287760715104287,3.715333486133394,0.9208113683245472,0.1707540683016273,0.0329475131790052,0.06274352509741,27.60543204217282,9.163706165482466,47.27767591107037,0.2572771029108411,0.3523951409580564,1.0084804033921613,0.0,4.857036442814577,0.6466307586523035,41,347.624,73.62053457794401,5418.063174201993,-0.9994807967395132,317.2479858398437,-74.87992095947266,41.53961181640625,41,87.86425673183327,0.5901881224640354,1.4385835485060865,2.213205459240133,1.6230173367760976,0.7377351530800442,1.364810033198082,2.6189597934341573,1.549243821468093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,165018.0,Mixed Forest,43,96354.0,Deciduous Forest,41,31985.0,Evergreen Forest,42,349040.0
